year,month,jobmedley_related_occupation_count,hellowork_active_job_count,estimated_national_active_job_count_low,estimated_national_active_job_count_base,estimated_national_active_job_count_high,low_multiplier,high_multiplier,scenario_method
2022,4,13,1211313,3585385,5121978,6658571,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2022,5,13,1207843,3560456,5086366,6612276,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2022,6,13,1226124,3616410,5166300,6716190,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2022,7,13,1225820,3612206,5160294,6708382,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2022,8,13,1247794,3682522,5260746,6838970,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2022,9,13,1270973,3753091,5361558,6970025,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2022,10,13,1295764,3827634,5468049,7108464,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2022,11,13,1301313,3847268,5496097,7144926,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2022,12,13,1276168,3785802,5408289,7030776,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2023,1,13,1309413,3923665,5605236,7286807,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2023,2,13,1364803,4127226,5896037,7664848,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2023,3,13,1361326,4100111,5857301,7614491,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2023,4,13,1272622,3795259,5421799,7048339,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2023,5,13,1254757,3726232,5323188,6920144,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2023,6,13,1256265,3723425,5319178,6914931,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2023,7,13,1247647,3698302,5283289,6868276,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2023,8,13,1262866,3743174,5347392,6951610,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2023,9,13,1269298,3760715,5372450,6984185,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2023,10,13,1290941,3824176,5463108,7102040,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2023,11,13,1273307,3777857,5396939,7016021,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2023,12,13,1254902,3738833,5341190,6943547,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2024,1,13,1274747,3832426,5474895,7117364,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2024,2,13,1329540,4029075,5755821,7482567,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2024,3,13,1313629,3964451,5663502,7362553,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2024,4,13,1249039,3735494,5336420,6937346,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2024,5,13,1229654,3661655,5230936,6800217,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2024,6,13,1204490,3578522,5112175,6645828,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2024,7,13,1224954,3638007,5197153,6756299,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2024,8,13,1216631,3613448,5162068,6710688,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2024,9,13,1233472,3659560,5227943,6796326,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2024,10,13,1270556,3771207,5387439,7003671,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2024,11,13,1257157,3733593,5333705,6933816,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2024,12,13,1239142,3695644,5279492,6863340,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2025,1,13,1252649,3768595,5383707,6998819,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2025,2,13,1276413,3862314,5517592,7172870,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2025,3,13,1267174,3818147,5454496,7090845,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2025,4,13,1216811,3635751,5193930,6752109,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2025,5,13,1194430,3551706,5073866,6596026,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2025,6,13,1179768,3502039,5002913,6503787,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2025,7,13,1188891,3528090,5040129,6552168,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2025,8,13,1169608,3466644,4952349,6438054,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2025,9,13,1187599,3522154,5031648,6541142,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2025,10,13,1202631,3565268,5093240,6621212,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2025,11,13,1166026,3458480,4940685,6422890,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2025,12,13,1164896,3470933,4958476,6446019,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2026,1,13,1189366,3574783,5106833,6638883,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
2026,2,13,1216177,3676752,5252503,6828254,0.70,1.30,jobmedley_related_sum_with_base_estimate_band
