year,month,major_category,occupation_name,estat_job_count,major_category_coverage_rate,occupation_relative_factor,coverage_rate,estimated_national_job_count,factor_source,confidence,notes
2026,2,専門・技術,専門的・技術的職業従事者,487600,0.180000,1.00,0.180000,2708889,default_neutral,low,
2026,2,サービス,サービス職業従事者,471576,0.280000,0.95,0.266000,1772842,default_heuristic,low,
2026,2,事務,事務従事者,221065,0.220000,0.85,0.187000,1182166,default_heuristic,low,
2026,2,販売,販売従事者,181730,0.200000,0.80,0.160000,1135812,default_heuristic,low,
2026,2,事務,一般事務従事者,158159,0.220000,0.85,0.187000,845770,default_heuristic,low,
2026,2,販売,商品販売従事者,101912,0.200000,0.75,0.150000,679413,default_heuristic,low,
2026,2,専門・技術,社会福祉専門職業従事者,129425,0.180000,1.20,0.216000,599190,default_heuristic,low,
2026,2,サービス,介護サービス職業従事者,191234,0.280000,1.25,0.350000,546383,default_heuristic,low,
2026,2,生産工程,生産工程従事者,196375,0.330000,1.10,0.363000,540978,default_heuristic,low,
2026,2,専門・技術,情報処理・通信技術者,50453,0.180000,0.55,0.099000,509626,default_heuristic,low,
2026,2,運搬・清掃・包装等,運搬・清掃・包装等従事者,169372,0.320000,1.05,0.336000,504083,default_heuristic,low,
2026,2,専門・技術,保健師，助産師，看護師,100571,0.180000,1.25,0.225000,446982,default_heuristic,low,
2026,2,販売,営業職業従事者,75025,0.200000,0.85,0.170000,441324,default_heuristic,low,
2026,2,サービス,飲食物調理従事者,108338,0.280000,1.00,0.280000,386921,default_neutral,low,
2026,2,輸送・機械運転,輸送・機械運転従事者,124272,0.340000,1.05,0.357000,348101,default_heuristic,low,
2026,2,専門・技術,建築・土木・測量技術者,57818,0.180000,1.05,0.189000,305915,default_heuristic,low,
2026,2,保安,保安職業従事者,88881,0.300000,1.00,0.300000,296270,default_neutral,low,
2026,2,サービス,接客・給仕職業従事者,73549,0.280000,0.95,0.266000,276500,default_heuristic,low,
2026,2,建設・採掘,建設・採掘従事者,109329,0.400000,1.00,0.400000,273322,default_neutral,low,
2026,2,輸送・機械運転,自動車運転従事者,99935,0.340000,1.10,0.374000,267206,default_heuristic,low,
2026,2,専門・技術,その他の専門的職業,38712,0.180000,1.00,0.180000,215067,default_neutral,low,
2026,2,専門・技術,医療技術者,42191,0.180000,1.10,0.198000,213086,default_heuristic,low,
2026,2,生産工程,製品製造・加工処理従事者（金属製品を除く）,61529,0.330000,1.00,0.330000,186452,default_neutral,low,
2026,2,運搬・清掃・包装等,清掃従事者,61809,0.320000,1.05,0.336000,183955,default_heuristic,low,
2026,2,運搬・清掃・包装等,運搬従事者,56825,0.320000,1.00,0.320000,177578,default_neutral,low,
2026,2,運搬・清掃・包装等,その他の運搬・清掃・包装等従事者,42607,0.320000,1.00,0.320000,133147,default_neutral,low,
2026,2,専門・技術,保健医療サービス職業従事者,23623,0.180000,1.00,0.180000,131239,default_neutral,low,
2026,2,サービス,生活衛生サービス職業従事者,31998,0.280000,0.95,0.266000,120293,default_heuristic,low,
2026,2,サービス,その他のサービス職業従事者,32434,0.280000,1.00,0.280000,115836,default_neutral,low,
2026,2,生産工程,機械整備・修理従事者,37835,0.330000,1.00,0.330000,114652,default_neutral,low,
2026,2,生産工程,製品製造・加工処理従事者（金属製品）セ,37821,0.330000,1.00,0.330000,114609,default_neutral,low,
2026,2,専門・技術,その他の保健医療従事者,20234,0.180000,1.00,0.180000,112411,default_neutral,low,
2026,2,専門・技術,製造技術者（開発）,14872,0.180000,0.75,0.135000,110163,default_heuristic,low,
2026,2,建設・採掘,土木作業従事者,40511,0.400000,1.00,0.400000,101278,default_neutral,low,
2026,2,事務,営業・販売事務従事者,17265,0.220000,0.85,0.187000,92326,default_heuristic,low,
2026,2,事務,会計事務従事者,18027,0.220000,0.90,0.198000,91045,default_heuristic,low,
2026,2,管理,管理的職業従事者,5974,0.120000,0.60,0.072000,82972,default_heuristic,low,
2026,2,専門・技術,製造技術者（開発を除く）,12102,0.180000,0.90,0.162000,74704,default_heuristic,low,
2026,2,建設・採掘,建設従事者（建設躯体工事従事者を除く）,30063,0.400000,1.10,0.440000,68325,default_heuristic,low,
2026,2,事務,生産関連事務従事者,14089,0.220000,1.00,0.220000,64041,default_neutral,low,
2026,2,生産工程,機械組立従事者,20856,0.330000,1.00,0.330000,63200,default_neutral,low,
2026,2,専門・技術,美術家，デザイナー，写真家，映像撮影者,4489,0.180000,0.45,0.081000,55420,default_heuristic,low,
2026,2,輸送・機械運転,定置・建設機械運転従事者,17716,0.340000,1.00,0.340000,52106,default_neutral,low,
2026,2,建設・採掘,電気工事従事者,19985,0.400000,1.10,0.440000,45420,default_heuristic,low,
2026,2,専門・技術,医師，歯科医師，獣医師，薬剤師,9003,0.180000,1.15,0.207000,43493,default_heuristic,low,
2026,2,専門・技術,その他の技術者,7730,0.180000,1.00,0.180000,42944,default_neutral,low,
2026,2,建設・採掘,建設躯体工事従事者,18426,0.400000,1.10,0.440000,41877,default_heuristic,low,
2026,2,生産工程,生産関連・生産類似作業従事者,13030,0.330000,1.00,0.330000,39485,default_neutral,low,
2026,2,農林漁業,農林漁業従事者,16723,0.450000,1.00,0.450000,37162,default_neutral,low,
2026,2,事務,運輸・郵便事務従事者,7245,0.220000,1.00,0.220000,32932,default_neutral,low,
2026,2,サービス,居住施設・ビル等管理人,9005,0.280000,1.00,0.280000,32161,default_neutral,low,
2026,2,販売,販売類似職業従事者,4793,0.200000,0.85,0.170000,28194,default_heuristic,low,
2026,2,運搬・清掃・包装等,包装従事者,8131,0.320000,1.00,0.320000,25409,default_neutral,low,
2026,2,事務,事務用機器操作員,5385,0.220000,1.00,0.220000,24477,default_neutral,low,
2026,2,生産工程,生産設備制御・監視従事者（金属製品を除く）セ,6599,0.330000,1.00,0.330000,19997,default_neutral,low,
2026,2,輸送・機械運転,その他の輸送従事者,6399,0.340000,1.00,0.340000,18821,default_neutral,low,
2026,2,生産工程,製品検査従事者（金属製品を除く）,5730,0.330000,1.00,0.330000,17364,default_neutral,low,
2026,2,生産工程,生産設備制御・監視従事者（金属製品）セ,3919,0.330000,1.00,0.330000,11876,default_neutral,low,
2026,2,生産工程,製品検査従事者（金属製品）,3849,0.330000,1.00,0.330000,11664,default_neutral,low,
2026,2,生産工程,機械検査従事者,3118,0.330000,1.00,0.330000,9448,default_neutral,low,
2026,2,生産工程,機械組立設備制御・監視従事者,2089,0.330000,1.00,0.330000,6330,default_neutral,low,
2026,2,サービス,家庭生活支援サービス職業従事者,1395,0.280000,1.00,0.280000,4982,default_neutral,low,
2026,2,事務,外勤事務従事者,895,0.220000,1.00,0.220000,4068,default_neutral,low,
2026,2,建設・採掘,採掘従事者,344,0.400000,1.00,0.400000,860,default_neutral,low,
2026,2,輸送・機械運転,船舶・航空機運転従事者,115,0.340000,1.00,0.340000,338,default_neutral,low,
2026,2,輸送・機械運転,鉄道運転従事者,107,0.340000,1.00,0.340000,315,default_neutral,low,
2026,2,集計区分,介護関係職種（注２）カ,271168,,,,,not_estimated,n/a,総計・集計区分・分類不能は occupation 推計対象外
2026,2,分類不能,分類不能の職業,0,,,,,not_estimated,n/a,総計・集計区分・分類不能は occupation 推計対象外
2026,2,総計,職業計,2072897,,,,,not_estimated,n/a,総計・集計区分・分類不能は occupation 推計対象外
